title,subtitle,published,read,published_on,link,image_id,description
A First Look at Google Kubernetes Engine Autopilot,The new serverless solution using the friendly Kubernetes API,Mar 2,5 min read,Better Programming,https://betterprogramming.pub/a-first-look-at-google-kubernetes-engine-autopilot-8c8faa947609?source=friends_link&sk=e3eb2f740d5695b66a5f0fe896a13d3d,0*XmIFLTlifdpU6NeV,"<p>We are at a historic juncture at the moment. Google has attempted to put a serverless solution behind a friendly Kubernetes API. It recently launched GKE Autopilot, which offers us a serverless option while running the popular managed Kubernetes solution.</p><p>So, instead of launching a GKE cluster with worker nodes within your Google Cloud environment, you can now offload all the management hassle to Google’s SREs and focus entirely on your application while using the friendly Kubernetes API.</p><p>That means you don’t have to work around anything within your applications and can use the serverless solution with ease. Plus, you…</p>"
Docker Container Security With Anchore Grype,Run a vulnerability scanner on your container images within CI/CD pipelines,Feb 25,4 min read,Better Programming,https://betterprogramming.pub/docker-container-security-with-anchore-grype-6913bc926499?source=friends_link&sk=8f8751a73829239fd22f5fcea22e7884,0*ZUiefQL4XTN12dg8,"<p>With the advent of the cloud and container orchestrators, containers are becoming more commonplace. Docker is one of the most popular container runtimes that we use, and Docker images are everywhere. However, as it is a relatively new technology — and with the increased focus on shift-left — container security is a hot topic.</p><p>Most enterprises focus on runtime container security. However, sometimes the containers themselves have a vulnerability at build time that goes undetected to the untrained eye.</p><p>Containers use layers, and most containers are built from third-party base images that are available on Docker Hub. So, even if…</p>"
Redefine Your Cloud Journey With Terraform and Packer,Do Infrastructure and Config As Code the right way,Dec 17,7 min read,Better Programming,https://medium.com/better-programming/redefine-your-cloud-journey-with-terraform-and-packer-ca65e0f04730?source=friends_link&sk=e6650b714366a03a0da0e3b4dfabd575,0*gnFKL8lPgbwyD7eA,"<p>For most DevOps professionals, creating a VM usually consists of spinning it up on a cloud using Terraform and then using a config management tool (e.g. Ansible or Puppet) or a bootstrap script (e.g. cloud-init) to convert the raw Virtual Machine to a purposeful server.</p><p>We all have been doing it for a long time and it works for most cases, but it comes with some drawbacks.</p><p>I will give you an example from personal experience. We have a horizontally scalable web server running on GCP using managed instance groups (MIG). …</p>"
Kubernetes Is Deprecating Docker,"What’s the change, who’s impacted, how does one migrate, and why it isn’t a reason to panic?",Dec 8,4 min read,Better Programming,https://medium.com/better-programming/kubernetes-is-deprecating-docker-8a9f7566fbca?source=friends_link&sk=f32bd1b7affc104e9c08a706b2f24439,1*amlrI0ig2a-m6lQaFEef-g.png,"<p>Like most of us have heard, Kubernetes is deprecating Docker as a runtime from v1.20 in favour of runtimes using the Container Runtime Interface (CRI), such as containerd and CRI-O.</p><p>It isn’t a reason to panic, though. First of all: it’s a deprecation — i.e., you’ll start getting a warning from v1.20, so you aren’t immediately impacted. You still have a full year to come up with a plan, as Docker will be unsupported at v1.22, which they’ll roll out in late 2021.</p><p>Even if you aren’t ready by that time, you can choose to not upgrade to v1.22 until such a time that you think you’re ready. …</p>"
Understanding Kubernetes Multi-Container Pod Patterns,"A guide to Sidecar, Ambassador, and Adapter patterns with hands-on examples",Nov 17,5 min read,Better Programming,https://medium.com/better-programming/understanding-kubernetes-multi-container-pod-patterns-577f74690aee?source=friends_link&sk=5d63a9ec5815a871bef492cbad066262,0*2SBVoKvXqNIpZPQk,"<p>A Kubernetes Pod is the basic building block of Kubernetes. Comprising of one or more containers, it is the smallest entity you can break Kubernetes architecture into.</p><p>When I was new to Kubernetes, I often wondered why they designed it so. I mean why containers did not become the basic build block instead. Well, a bit of doing things in the real environment and it makes more sense now.</p><p>So, Pods can contain multiple containers, for some excellent reasons — primarily, the fact that containers in a pod get scheduled in the same node in a multi-node cluster. …</p>"
Policy As Code on Kubernetes With Kyverno,Enforce Kubernetes best practices for your organisation with CRD,Nov 6,5 min read,Better Programming,https://medium.com/better-programming/policy-as-code-on-kubernetes-with-kyverno-b144749f144?source=friends_link&sk=8226eb516fcc1f10289293684d77fbd8,0*zaTs-8Hmun5g0XGb,"<p>Kubernetes has been able to revolutionise the cloud-native ecosystem by allowing people to run distributed applications at scale. Though Kubernetes is a feature-rich and robust container orchestration platform, it does come with its own set of complexities. Managing Kubernetes at scale with multiple teams working on it is not easy, and ensuring that people do the right thing and do not cross their line is difficult to manage.</p><p>Kyverno is just the right tool for this. It is an open source, Kubernetes-native policy engine that helps you define policies using simple Kubernetes manifests. …</p>"
Kubernetes Security With Falco,Comprehensive runtime security for your containers with a hands-on demo,Oct 23,4 min read,Better Programming,https://medium.com/better-programming/kubernetes-security-with-falco-2eb060d3ae7d?source=friends_link&sk=5103ca87ebf229f639cd060d10a16fa6,0*7uL3-J6BmRbiVaJx,"<p>Falco is an open source runtime security tool that can help you to secure a variety of environments. Sysdig created it and it has been a CNCF project since 2018. Falco reads real-time Linux kernel logs, container logs, Kubernetes logs, etc. against a powerful rules engine to alert users of malicious behaviour.</p><p>It is particularly useful for container security — especially if you are using Kubernetes to run them — and it is now the de facto Kubernetes threat detection engine. It ingests Kubernetes API audit logs for runtime threat detection and to understand application behaviour.</p><p>It also helps teams understand who did what in the cluster, as it can integrate with Webhooks to raise alerts in a ticketing system or a collaboration engine like Slack. …</p>"
Understanding Kubernetes Deployment Strategies,"Rolling updates, recreates, ramped rollouts, canary deployments, and more",Oct 13,6 min read,Better Programming,https://medium.com/better-programming/understanding-kubernetes-deployment-strategies-12535c3cb379?source=friends_link&sk=9fe0a0cb2975afdb4fd6c006856793e5,0*bG8_rFxX8bRA4xZf,"<p>Deployment resources within Kubernetes have simplified container deployments, and they are one of the most used Kubernetes resources. Deployments manage ReplicaSets, and they help create multiple deployment strategies by appropriately manipulating them to produce the desired effect.</p><p>Surprisingly, deployments only have two Strategy types: RollingUpdate and Recreate.</p><p>While RollingUpdate is the default strategy where Kubernetes creates a new ReplicaSet and starts scaling the new ReplicaSet up and simultaneously scaling the old ReplicaSet down, the Recreate strategy scales the old ReplicaSet to zero and creates a new one with the desired replicas immediately.</p><p>That does not limit Kubernetes’ ability, though, for more advanced deployments. There are more fine-grain controls on the deployment specification that can help us implement multiple deployment patterns and strategies. Let’s look at possible scenarios, when to use them, and how they look with hands-on examples. …</p>"
Accelerate Your CI/CD Pipelines With Kubernetes in Docker (KinD),Understanding KinD with a hands-on example,Oct 5,5 min read,Better Programming,https://medium.com/better-programming/accelerate-your-ci-cd-pipelines-with-kubernetes-in-docker-kind-109a67b39c82?source=friends_link&sk=e04acf54a46da6fd38272c968ebf2690,0*2HoVlgKu7cHlnC7F,"<p>Setting up a Kubernetes cluster is getting simpler with time. There are several turnkey solutions available in the market, and no one currently does it the hard way!</p><p>Notably, Minikube has been one of the go-to clusters for developers to get started with development and testing their containers quickly. However, the issue with Minikube is that it can only spin up a single node cluster.</p><p>Therefore, this becomes a limitation for integration and component testing, and most organisations rely on cloud-based managed Kubernetes services for that.</p><p>Integrating Kubernetes in the CI/CD pipeline and doing a test requires multiple tools, such as Terraform, a dependency on a cloud provider, and of course a CI/CD tool such as Jenkins, GitLab, or GitHub. …</p>"
Should You Get Kubernetes Certified?,An overview of CNCF’s certificate offerings and their benefits,Sep 28,6 min read,Better Programming,https://medium.com/better-programming/should-you-get-kubernetes-certified-67a3fbe7574c?source=friends_link&sk=010bdfc7c30ab65342d15d6036689c0f,0*hwvFiyuE4Fgo_2Su,"<p>Recently, Kubernetes has been in vogue and growing at a tremendous pace. With Kubernetes being part of CNCF and the industry taking a more cloud-native approach, Kubernetes engineers are in demand as never before.</p><p>The Cloud Native Computing Foundation, in collaboration with the Linux Foundation, has come up with certificate offerings that allow developers, system administrators, and cybersecurity personnel to validate their knowledge on Kubernetes. They have developed these certificates to match industry requirements and to ensure that every developer or system administrator has the knowledge to be called Kubernetes experts.</p><p>Unlike other tech certifications, the Kubernetes certifications offered by CNCF are open-book and completely hands-on. You get a Linux command line environment where you solve a number of labs in a limited period of time. They test you on the practical aspects of the technology rather than asking some multiple-choice questions that you can cram, regurgitate, and then completely forget about later. …</p>"
